问题发生时间,平台名称,所在地区,上线时间,出问题原因,url,注册资本,法人,风险暴露时间,注册人数,筹集资金,待收金额,现状
2018/3/26,易人金服,浙江省杭州市,2017/3/8,平台失联,https://www.p2peye.com/thread-1998270-1-1.html,1000万元人民币,陈一慧 ,2017年5月4日,不详,不详,不详,网站无法访问
2018/3/25,时时贷 （重庆）,重庆市江北区,--,平台失联,https://www.p2peye.com/thread-1997405-1-1.html,100万元人民币,张波,2015年12月22日,不详,不详,不详,网站无法访问
2018/3/19,赫轩投资,安徽省合肥市,--,平台失联,https://www.p2peye.com/thread-1992256-1-1.html,2400万元人民币,夏晓源 ,2015年10月13日,不详,不详,不详,网站无法访问，显示为博彩类网站
2018/3/28,长汇财富,河北省石家庄市,2015/12/15,提现困难,https://www.p2peye.com/thread-1999848-1-1.html,1000万元人民币,马长征,2018年3月17日,29185人,"307,433,886.19元","35,130,016.19元",提现困难，大量到期标的显示还款中
2018/3/8,益丰阿里,安徽省合肥市,2015/3/11,平台失联,https://www.p2peye.com/thread-1985946-1-1.html,1000万元人民币,林彩娥 ,不详,不详,不详,不详,网站无法访问
2018/3/28,鸿泰源投资,广东省深圳市,--,平台失联,https://www.p2peye.com/thread-2000031-1-1.html,7000万元人民币,彭应辉 ,2016年1月3日,不详,不详,不详,网站无法访问，显示为博彩类网站
2018/3/27,青蚨在线,北京市东城区,2014/3/1,提现困难,https://www.p2peye.com/thread-1998856-1-1.html,50000万元人民币,徐东亚 ,2018年1月31日,不详,不详,不详,提现困难
2018/3/8,鑫诚投资,安徽省马鞍山市,2016/3/24,平台失联,https://www.p2peye.com/thread-1985943-1-1.html,5000万元人民币,岳承平 ,2017年8月3日,不详,不详,不详,网站无法访问
2018/3/19,胜和财富,广东省深圳市,--,平台失联,https://www.p2peye.com/thread-1992254-1-1.html,5000万元人民币,王兴伟 ,2015年10月8日,不详,不详,不详,网站无法访问
2018/3/19,股东派,浙江省杭州市,2015/11/11,平台失联,https://www.p2peye.com/thread-1992263-1-1.html,10000万元人民币,王井华 ,2015年11月5日,不详,不详,不详,网站无法访问
2018/3/8,金通财富,山东省聊城市,--,平台失联,https://www.p2peye.com/thread-1985613-1-1.html,500万元人民币,姜少锋 ,2015年9月28日,不详,不详,不详,网站无法访问
2018/3/27,利魔方,北京市东城区,2015/6/1,平台失联,https://www.p2peye.com/thread-1998888-1-1.html,10000万元人民币,郭英来 ,2017年11月30日,592099人,"1,052,470,563元",不详,到期标的显示还款中，客服电话无人接听
2018/3/19,格联财富,上海市浦东新区,--,平台失联,https://www.p2peye.com/thread-1992271-1-1.html,1401.12万元人民币,李静 ,2015年11月24日,不详,不详,不详,网站无法访问
2018/2/11,潮人贷,广东省汕头市,2014/10/31,平台失联,https://www.p2peye.com/thread-1974550-1-1.html,1000万元人民币,简晓辉 ,2015年7月15日,不详,390431131.67元,47527251元,大量标的逾期，客服电话无人接听
2018/3/27,金投手,北京市东城区,2015/6/6,提现困难,https://www.p2peye.com/thread-1998925-1-1.html,5000万元人民币,马俊湖,2017年11月8日,229067 人,"3,104,577,990.00元","70,867,873.61元",提现困难， 客服回馈目前对用户的提现正在处理中，按照提现申请的先后顺序处理打款
2018/3/22,同时贷,广东省东莞市,--,提现困难,https://www.p2peye.com/thread-1994761-1-1.html,10000万元人民币,彭海雄,2018年3月21日,802人,"3,882.49万元",不详,到期标的逾期
2018/2/11,巨财网,北京市东城区,2016/3/22,平台失联,https://www.p2peye.com/thread-1974548-1-1.html,5000万元人民币,邱平 ,2017年5月16日,不详,不详,不详,平台公告称节后处理提现事宜，客服电话无法接听
2018/3/8,易米融,上海市黄浦区,2017/10/28,提现困难,https://www.p2peye.com/thread-1985315-1-1.html,10000万元人民币,张晋荣,2018年2月4日,不详,不详,不详,提现困难
2018/2/9,钱钱+,广东省深圳市,2015/11/5,平台失联,https://www.p2peye.com/thread-1973815-1-1.html,5000万元人民币,陈嘉文,不详,不详,不详,不详,长期无标的更新，客服电话为其他平台号码
2018/3/9,律邦融安,湖南省长沙市,2012/4/1,平台失联,https://www.p2peye.com/thread-1986649-1-1.html,30万元人民币,饶筱婕 ,不详,不详,不详,不详,网站无法访问
2018/2/9,港视金融,广东省深圳市,2016/3/10,终止运营,https://www.p2peye.com/thread-1973828-1-1.html,3000万元人民币,戴凌翔 ,不详,56534人,不详,不详,长期无标的更新，客服电话无人接听
2018/2/11,微贷在线,广东省东莞市,2014/12/2,终止运营,https://www.p2peye.com/thread-1974551-1-1.html,1000万元人民币,霍树威 ,不详,不详,不详,不详,长期无标的更新，无逾期项目显示，客服电话无法接通
2018/3/9,英邦投资,湖南省长沙市,2013/10/9,平台失联,https://www.p2peye.com/thread-1986650-1-1.html,1000万元人民币,叶小红,不详,不详,不详,不详,网站无法访问
2018/2/9,金控贷,广东省深圳市,2015/1/1,平台失联,https://www.p2peye.com/thread-1973816-1-1.html,5010万元人民币,刘丹 ,不详,357人,27413000元,不详,长期无标的更新，客服电话无法接通
2018/3/9,云金融,湖南省株洲市,2013/9/10,终止运营,https://www.p2peye.com/thread-1986647-1-1.html,5000万元人民币,刘向阳,不详,不详,不详,不详, 终止运营
2018/3/9,海恒e贷,河南省郑州市,2015/6/30,平台失联,https://www.p2peye.com/thread-1986643-1-1.html,1000万元人民币,王雪曼,不详,不详,不详,不详,网站无法访问
2018/3/9,帮成贷,河南省郑州市,2016/4/6,平台失联,https://www.p2peye.com/thread-1986644-1-1.html,3001万元人民币,程秋菊 ,不详,不详,不详,不详,网站无法访问，页面显示为赌博网站
2018/3/8,爱生息,山西省阳泉市,2016/12/1,提现困难,https://www.p2peye.com/thread-1985324-1-1.html,2000万元人民币,穆建明 ,2017年12月26日,不详,不详,不详,提现困难，发布清盘公告
2018/3/26,安居客理财,辽宁省大连市,--,平台失联,https://www.p2peye.com/thread-1997901-1-1.html,50万元人民币,杨磊 ,2015年12月7日,不详,不详,不详,网站客服电话提示无此业务号码
2018/3/8,徽商易贷,安徽省马鞍山市,2015/4/13,平台失联,https://www.p2peye.com/thread-1985945-1-1.html,1000万元人民币,李庆钢 ,2015年3月24日,不详,不详,不详,网站无法访问，显示为赌博类网站
2018/3/19,红易贷,上海市黄浦区,--,平台失联,https://www.p2peye.com/thread-1992270-1-1.html,1500万元人民币,白海龙 ,2015年11月22日,不详,不详,不详,网站无法访问，显示为非网贷网站
2018/3/19,皖通金融,安徽省马鞍山市,--,平台失联,https://www.p2peye.com/thread-1992268-1-1.html,3000万元人民币,谷明 ,2015年11月13日,不详,不详,不详,网站无法访问，显示为博彩类网站
2018/3/28,华金所,北京市,2015/8/10,平台失联,https://www.p2peye.com/thread-2000022-1-1.html,5000万元人民币,魏彦芳,2016年1月3日,不详,不详,不详,网站无法访问，显示为博彩类网站
2018/3/1,财富柜,上海市浦东新区,--,平台失联,https://www.p2peye.com/thread-1981852-1-1.html,5000万元人民币,王坚胜 ,2018年2月28日,680人,11650000.00元,不详,大量标的逾期，客服电话无人接听
2018/3/28,兰博金融,江苏省苏州市,--,平台失联,https://www.p2peye.com/thread-2000024-1-1.html,1000万元人民币,胡荣华,2016年1月5日,不详,不详,不详,网站无法访问
2018/3/19,金饭碗,安徽省芜湖市,--,平台失联,https://www.p2peye.com/thread-1992259-1-1.html,8000万元人民币,刘金林 ,2015年10月22日,不详,不详,不详,网站无法访问，显示为非网贷平台
2018/3/9,千店贷,湖南省长沙市,2014/12/5,平台失联,https://www.p2peye.com/thread-1986646-1-1.html,2000万元人民币,钱小军 ,2015年8月1日,不详,不详,不详,网站访问异常，客服电话无人接听
2018/2/28,信融乐,上海市青浦区,--,平台诈骗,https://www.p2peye.com/thread-1981087-1-1.html,288万元人民币,臧秀红 ,2018年2月28日,870256人,71480061098元,不详,日化平台
2018/3/25,邦正投资,山东省莱芜市,--,平台失联,https://www.p2peye.com/thread-1997404-1-1.html,1000万元人民币,秦宜芬,2015年12月21日,不详,不详,不详,网站无法访问
2018/3/28, 勇正投资,陕西省西安市,--,平台失联,https://www.p2peye.com/thread-2000032-1-1.html,1000万元人民币,王会永 ,2016年1月18日,不详,不详,不详,网站无法访问
2018/2/9,邦邦贷,广东省深圳市,2013/12/30,终止运营,https://www.p2peye.com/thread-1973827-1-1.html,10000万元人民币,林国语,2015年9月13日,不详,不详,不详,发布转型公告
2018/2/9,医融行,广东省深圳市,2016/2/26,平台失联,https://www.p2peye.com/thread-1973819-1-1.html,5000万元人民币,张宝山 ,不详,不详,不详,不详,网站无法访问
2018/3/19,金e网贷,广东省深圳市,--,平台失联,https://www.p2peye.com/thread-1992253-1-1.html,5000万元人民币,张建萍 ,2015年10月8日,不详,不详,不详,网站无法访问
2018/2/28,胖毛在线,福建省厦门市,2013/9/1,警方介入,https://www.p2peye.com/thread-1981085-1-1.html,5000万元人民币,洪汉钊 ,2018年2月28日,不详,不详,不详,涉嫌非吸，立案调查
2018/3/1,钱财富,上海市宝山区,--,提现困难,https://www.p2peye.com/thread-1981855-1-1.html,8000万元人民币,王克喜,2017年11月12日,50人,1350000.00元,不详,大量到期标的逾期，提现困难
2018/2/7,欧金宝,上海市嘉定区,2017/5/10,平台失联,https://www.p2peye.com/thread-1972324-1-1.html,12000万元人民币,何伏钱 ,2017年10月20日,14662 人,"53,997,617 元",不详,网站大量标的逾期，客服电话无人接听
2018/2/9,益邦贷,广东省深圳市,2014/2/8,平台失联,https://www.p2peye.com/thread-1973825-1-1.html,300万元人民币,林恒丞 ,不详,不详,不详,不详,网站无法访问
2018/2/8,六点一客,天津市南开区,--,平台失联,https://www.p2peye.com/thread-1973150-1-1.html,8000万元人民币,薛鼎,2018年2月6日,不详,不详,不详,网站无法访问
2018/2/7,金钱谷,上海市黄浦区,2015/12/2,平台失联,https://www.p2peye.com/thread-1972294-1-1.html,5000万元人民币,周桂林,2016年4月5日,不详,不详,不详,网站无法访问
2018/2/7,亿诺信投,山东省滨州市,2015/4/13,平台失联,https://www.p2peye.com/thread-1972333-1-1.html,6100万元人民币,田卫刚,不详,不详,不详,不详,网站无法访问
2018/2/7,金蟾宝,上海市黄浦区,2015/6/18,平台失联,https://www.p2peye.com/thread-1972303-1-1.html,10000万元人民币,毕洪江 ,不详,不详,不详,不详,网站无法访问
2018/2/7,鑫亿财富,山东省青岛市,2014/6/23,平台失联,https://www.p2peye.com/thread-1972330-1-1.html,1000万元人民币,史立友 ,不详,不详,不详,不详,网站无法访问，显示为博彩类网站
2018/2/8,国贷网,广东省深圳市,2015/12/12,终止运营,https://www.p2peye.com/thread-1973157-1-1.html,10000万元人民币,王俊伟,2018年8月17日,不详,不详,不详,发布转型公告
2018/2/7,汉国钱庄,上海市黄浦区,2014/4/24,平台失联,https://www.p2peye.com/thread-1972321-1-1.html,1000万元人民币,陈国兴 ,不详,不详,不详,不详,网站无法访问，显示为空白页
2018/2/8,电网贷,广东省深圳市,2015/4/20,良性退出,https://www.p2peye.com/thread-1973151-1-1.html,10000万元人民币,谭畅 ,2016年2月19日,不详,不详,不详,和大麦理财合并经营
2018/2/7,六六贷,上海市黄浦区,2014/8/25,平台失联,https://www.p2peye.com/thread-1972318-1-1.html,5000万元人民币,李世江 ,不详,不详,不详,不详,网站无法访问
2018/2/7,分分贷,上海市黄浦区,2016/3/31,平台失联,https://www.p2peye.com/thread-1972302-1-1.html,6000万元人民币,徐梵 ,不详,不详,不详,不详,停止运营
2018/2/9,中诚在线,广东省深圳市,2014/10/28,平台失联,https://www.p2peye.com/thread-1973822-1-1.html,2000万元人民币,黄远湘 ,2014年11月26日,不详,不详,不详,网站无法访问，显示为博彩类网站
2018/2/7,三惠富邦,山东省滨州市,2015/1/5,平台失联,https://www.p2peye.com/thread-1972335-1-1.html,2000万元人民币,刘建民,不详,不详,不详,不详,网站无法访问，显示为博彩类网站
2018/2/7, Aoao金融,上海市黄浦区,2014/10/22,平台失联,https://www.p2peye.com/thread-1972317-1-1.html,2000万元人民币,陈剑飞 ,不详,不详,不详,不详,网站无法访问
2018/1/26,丰通财富,浙江省衢州市,2017/9/10,平台失联,https://www.p2peye.com/thread-1965278-1-1.html,5000万元人民币,毛文发 ,2018年1月26日,463人,41660510元,不详,平台大量标的逾期，客服电话无法接通
2018/1/30,68易贷,河北省石家庄市,--,平台失联,https://www.p2peye.com/thread-1967214-1-1.html,1000万元人民币,付大伟 ,2018年1月27日,不详,不详,不详,网站无法访问
2018/2/3,小金所,江苏省南京市,2015/5/18,良性退出,https://www.p2peye.com/thread-1969665-1-1.html,1000万元人民币,夏炜炜 ,2015年8月31日,不详,不详,不详,显示为非网贷平台
2018/1/30,乐派金服,浙江省宁波市,--,终止运营,https://www.p2peye.com/thread-1967210-1-1.html,1000万元人民币,高峻 ,2018年1月18日,37人,34.3万元,不详,发布清盘公告，客服回应目前装修中，预计2018年3月1日恢复运营
2018/2/9,自由贷,广东省深圳市,2014/4/1,平台失联,https://www.p2peye.com/thread-1973824-1-1.html,2000万元人民币,何毅鹏 ,不详,不详,不详,不详,网站两年不发标的，所有标的显示还款中，客服号码提示是空号
2018/3/9,发发金融,湖南省长沙市,2015/3/2,平台失联,https://www.p2peye.com/thread-1986648-1-1.html,600万元人民币,刘登 ,不详,不详,不详,不详,网站无法访问
2018/3/22,财大狮,广东省深圳市,2013/3/28,提现困难,https://www.p2peye.com/thread-1994754-1-1.html,10000万元人民币,施叶楠 ,2017年2月9日,不详,"4,099,732,996元",不详,到期标的显示待还中
2018/2/7,莱诚贷,山东省莱芜市,2014/10/8,平台失联,https://www.p2peye.com/thread-1972336-1-1.html,1000万元人民币,马利 ,2014年10月9日,不详,不详,不详,网站无法访问，跳转到博彩网站
2018/1/30,向右转,四川省成都市,2016/1/15,平台失联,https://www.p2peye.com/thread-1967215-1-1.html,2000万元人民币,段均伟,2017年6月6日,不详,不详,不详,网站无法访问
2018/3/19,七彩池,四川省成都市,--,平台失联,https://www.p2peye.com/thread-1992261-1-1.html,500万元人民币,李石 ,2015年10月31日,不详,不详,不详,网站无法访问，显示为非网贷类网站
2018/2/7,铺贷所,上海市黄浦区,2014/1/1,平台失联,https://www.p2peye.com/thread-1972322-1-1.html,5000万元人民币,杨远翠 ,不详,不详,不详,不详,网站无法访问
2018/2/9,华盟金融,广东省深圳市,2016/6/12,良性退出,https://www.p2peye.com/thread-1973817-1-1.html,100000万元人民币,王有才,不详,"2,377人","6,864,200.00元",不详,平台所有标的表示已完成，客服电话为其他平台客服号码
2018/1/25,融荟财富,江苏省苏州市,--,平台失联,https://www.p2peye.com/thread-1964661-1-1.html,5000万元人民币,泮建均 ,2018年1月25日,1436人,1830000.00元,不详,网站长期没有更新，客服电话无法接通
2018/2/1,润贷网,江苏省泰州市,2014/10/18,平台失联,https://www.p2peye.com/thread-1968741-1-1.html,5000万元人民币,吴国驭 ,不详,不详,不详,不详,网站无法访问
2018/2/7,正合源盛,上海市黄浦区,2015/6/18,平台失联,https://www.p2peye.com/thread-1972319-1-1.html,8000万元人民币, 袁逸舟,不详,不详,不详,不详,网站无法访问，跳转到非网贷平台
2018/2/7,信农普惠,山东省淄博市,2015/4/3,平台失联,https://www.p2peye.com/thread-1972338-1-1.html,1000万元人民币,田绍林,不详,不详,不详,不详,网站无法访问，页面显示为博彩网站
2018/2/11,银巴克,北京市东城区,2014/12/19,平台失联,https://www.p2peye.com/thread-1974982-1-1.html,23000万元人民币,王焕生 ,2018年2月11日,不详,不详,不详,客服电话无法接通
2018/1/30,鑫升玉,河北省保定市,--,平台失联,https://www.p2peye.com/thread-1967211-1-1.html,2600万元人民币,赵忠立,2018年1月28日,853 人,3671000.00 元,不详,客服电话无法接通，平台大量逾期
2018/2/7,众合创投,山东省青岛市,2016/7/26,平台失联,https://www.p2peye.com/thread-1972341-1-1.html,1000万元人民币,苏冠强,不详,不详,不详,不详,网站无法访问，页面显示为博彩网站
2018/2/7,爱财客,上海市黄浦区,2014/3/1,平台失联,https://www.p2peye.com/thread-1972297-1-1.html,100万元人民币,俞兰 ,不详,不详,不详,不详,网站无法访问
2018/1/26,财加,北京市东城区,2012/12/1,终止运营,https://www.p2peye.com/thread-1965275-1-1.html,30000万元人民币,康凯 ,不详,不详,"3,516,415,016元",不详,"平台发标截止到2016年，截止到2018年1月份平没有新的标的信息和公告通知。
所有标的显示已完成，长期不发标的"
2018/1/25,金陵易贷,江苏省南京市,--,平台失联,https://www.p2peye.com/thread-1964409-1-1.html,3000万元人民币,冯连祥 ,2015年9月6日,不详,不详,不详,网站无法访问
2018/3/9,投融e家,河南省郑州市,2014/12/22,平台失联,https://www.p2peye.com/thread-1986642-1-1.html,5500万元人民币,赵文彬,不详,不详,不详,不详,网站无法访问
2018/3/26,生息金服,上海市松江区,2017/8/18,平台失联,https://www.p2peye.com/thread-1998269-1-1.html,4500万元人民币,车邦本,不详,不详,不详,不详,网站无法访问
2018/3/22,呱呱金服,浙江省杭州市,--,平台失联,https://www.p2peye.com/thread-1994759-1-1.html,5000万元人民币,谭珩,2017年12月8日,不详,不详,不详,网站无法访问
2018/1/26,天加利,广东省深圳市,--,终止运营,https://www.p2peye.com/thread-1965276-1-1.html,1000万元人民币,陈五奎,2016年04月23日停业,436人,2832550.00元,225000.00元,所有标的显示已完成，长期不发标的
2018/3/9,酷宝盒,江苏省南京市,2014/4/16,平台失联,https://www.p2peye.com/thread-1986645-1-1.html,1000万元人民币,桑友梅 ,2017年6月21日,不详,不详,不详,大量标的逾期，客服电话提示不存在
2018/1/25,安投易贷,河北省石家庄市,--,平台失联,https://www.p2peye.com/thread-1964490-1-1.html,300万元人民币,崔嘉宸,2015年9月18日,不详,不详,不详,网站无法访问
2018/2/27,凯发财通,浙江省丽水市,--,平台失联,https://www.p2peye.com/thread-1980330-1-1.html,5000万元人民币,徐荣林 ,2018年2月27日,不详,不详,不详,大量标的逾期，客服电话无法接通
2018/2/9,深佰信,广东省深圳市,2014/10/13,平台失联,https://www.p2peye.com/thread-1973830-1-1.html,3000万元人民币,梁红 ,不详,不详,"39,259,500.00元",不详,大量标的逾期，客服电话无法接通
2018/3/9,青创财富,安徽省合肥市,2015/1/12,平台失联,https://www.p2peye.com/thread-1986640-1-1.html,5000万元人民币,郭徽 ,不详,不详,不详,不详,网站无法访问
2018/1/25,蜀沪贷,上海市浦东新区,--,平台失联,https://www.p2peye.com/thread-1964393-1-1.html,5000万元人民币,谢明辉,2015年9月4日,不详,不详,不详,网站无法访问
2018/2/11,蓝海众投,广东省佛山市,2014/8/1,终止运营,https://www.p2peye.com/thread-1974552-1-1.html,10000万元人民币,孙议政 ,不详,54人,"3,295.47万元",不详,长期无标的更新，客服电话提示不存在该号码
2018/1/25,金鲤金服,北京市西城区,2015/12/1,平台失联,https://www.p2peye.com/thread-1964662-1-1.html,10000万元人民币,张振宇,2017年4月25日,不详,不详,不详,大量到期标的显示还款中，客服电话无法接通
2018/3/9,富民投资网,河南省郑州市,2014/11/5,平台失联,https://www.p2peye.com/thread-1986641-1-1.html,9000万元人民币,徐宽宽 ,2018年1月18日,不详,不详,不详,提现困难
2018/2/11,首库金融,广东省广州市,2016/3/25,平台失联,https://www.p2peye.com/thread-1974553-1-1.html,5000万元人民币,邓强 ,2017年9月18日,不详,17312000.00元,不详,长期无标的更新，大量逾期，客服电话无法接通
2018/1/25,汇金屋,湖南省长沙市,--,平台失联,https://www.p2peye.com/thread-1964384-1-1.html,500万元人民币,王超 ,2015年8月7日,不详,不详,不详,网站无法访问 
2018/2/7,国泰财富,山东省济南市,2017/5/6,平台失联,https://www.p2peye.com/thread-1972328-1-1.html,6000万元人民币,李传庆 ,2017年9月25日,不详,不详,不详,网站大量标的逾期，客服电话无法接通
2018/2/8,飞鸟金融,广东省深圳市,2014/12/26,终止运营,https://www.p2peye.com/thread-1973155-1-1.html,1000万元人民币,蒋燕萍 ,2017年10月13日,不详,"160,788,063.09元",不详,发布转型公告
2018/2/9,君来投,北京市东城区,2015/7/1,提现困难,https://www.p2peye.com/thread-1973485-1-1.html,5000万元人民币,杜平平,2018年1月29日,不详,不详,不详,网站无数据，大量逾期
2018/1/23,五岳贷,山东省泰安市,2014/12/22,平台失联,https://www.p2peye.com/thread-1963010-1-1.html,10000万元人民币,汪志远 ,2015年8月26日,不详,不详,不详,网站无法访问
2018/2/8,升值贷,广东省深圳市,2015/4/29,良性退出,https://www.p2peye.com/thread-1973153-1-1.html,10000万元人民币,林锦涛,不详,不详,不详,不详,"仅保留提现功能，良性退出
"
2018/3/27,融金桥,广东省深圳市,2015/1/8,平台失联,https://www.p2peye.com/thread-1998873-1-1.html,2000万元人民币,郑亚娟 ,2018年3月12日,不详,不详,不详,到期标的显示还款中，客服电话无人接听
2018/2/8,南相金服,上海市普陀区,2016/1/8,平台失联,https://www.p2peye.com/thread-1973260-1-1.html,2000万元人民币,戴明 ,2017年10月17日,不详,不详,不详,网站无法访问
2018/2/8,钱升钱,广东省深圳市,2014/9/15,终止运营,https://www.p2peye.com/thread-1973152-1-1.html,2000万元人民币,文艺良,2016年6月7日,不详,不详,不详,平台显示为股权投资平台
2018/1/16,世洋投资,山东省烟台市,--,平台失联,https://www.p2peye.com/thread-1958571-1-1.html,2600万元人民币,程世洋 ,2018年1月12日,不详,不详,不详,网站无法访问
2018/1/16,沃奥玛,山西省太原市,--,平台失联,https://www.p2peye.com/thread-1958573-1-1.html,3万元人民币,王猛 ,不详,不详,不详,不详,网页提示访问app操作，但app无法访问
2018/2/7,鼎天在线,山东省临沂市,2016/3/1,平台失联,https://www.p2peye.com/thread-1972331-1-1.html,6000万元人民币,俞建明 ,2017年9月29日,不详,不详,不详,网站无法访问
2018/2/7,鲁中贷,山东省淄博市,2014/11/11,平台失联,https://www.p2peye.com/thread-1972339-1-1.html,1000万元人民币,孙春娥 ,不详,不详,不详,不详,网站无法访问，页面显示为博彩网站
2018/2/9,如愿创投,广东省深圳市,2016/6/6,平台失联,https://www.p2peye.com/thread-1973831-1-1.html,11000万元人民币,马保民 ,不详,不详,165.5万元,19228.1万元,平台长期无标的更新，客服电话无人接听。公告数据为空。
2018/1/22,南海创投,广东省深圳市,2014/2/18,平台失联,https://www.p2peye.com/thread-1962051-1-1.html,5000万元人民币,王艳菊 ,2015年8月11日,不详,不详,不详,网站无法访问
2018/1/16,大宋财富,浙江省杭州市,2017/6/1,提现困难,https://www.p2peye.com/thread-1958572-1-1.html,5000万元人民币,宋连平 ,2018年1月12日,399人,53953512元,"15,875,685元",限额提现
2018/2/7,通宝通贷,山东省济南市,2016/11/7,平台失联,https://www.p2peye.com/thread-1972326-1-1.html,1000万元人民币,赵杰,2017年7月15日,不详,不详,不详,网站无法访问
2018/1/22,财佰通,福建省泉州市,2013/12/31,警方介入,https://www.p2peye.com/thread-1962037-1-1.html,5000万元人民币,杨明华 ,2018年1月19日,不详,"1,848,283,843元",不详,涉嫌违规，警方介入
2018/1/16,88贷网,重庆市万州区,2014/7/18,平台失联,https://www.p2peye.com/thread-1958570-1-1.html,2000万元人民币,唐治林,不详,不详,不详,不详,网站无法访问
2018/2/7, 贷趣网,山东省烟台市,2013/6/9,平台失联,https://www.p2peye.com/thread-1972342-1-1.html,1000万元人民币,刘纪堂,不详,不详,不详,不详,客服电话无法接通，显示为网贷导航平台
2018/3/1,中南信达,北京市房山区,--,平台诈骗,https://www.p2peye.com/thread-1981845-1-1.html,5000万元人民币,綦咏梅,2018年3月1日,96148人,"1,783,805,550元",不详,日化平台
2018/2/1,讯燕金服,江苏省南京市,--,平台失联,https://www.p2peye.com/thread-1968742-1-1.html,1000万元人民币,王建平,不详,不详,不详,不详,从2017-1-23起网站没有更新，客服电话无人接听，QQ客服不在线
2018/2/7,钱冠理财,上海市黄浦区,2013/8/18,平台失联,https://www.p2peye.com/thread-1972323-1-1.html,1200万元人民币,肖志刚 ,2017年9月7日,90904人,"872,410,699.84元",不详,网站大量标的逾期，客服电话无人接听
2018/1/30,迈度BANK,上海市金山区,--,终止运营,https://www.p2peye.com/thread-1967208-1-1.html,6000万元人民币,江新军 ,2018年1月30日,1145人,12106900元,不详,发布清盘公告
2018/2/7,荷银商务,山东省枣庄市,2015/4/9,平台失联,https://www.p2peye.com/thread-1972329-1-1.html,5000万元人民币,邵斌 ,不详,不详,不详,不详,网站无法访问
2018/1/14,妥妥赢,上海市黄浦区,2016/8/1,平台失联,https://www.p2peye.com/thread-1957081-1-1.html,10000万元人民币,褚真明,不详,不详,不详,不详,网站无法访问
2018/2/8,汇善金融,浙江省宁波市,2017/5/23,平台失联,https://www.p2peye.com/thread-1973149-1-1.html,5500万元人民币,陆如江 ,2018年2月7日,3326人,6973万元,527万元,平台长期无标的更新，客服电话无人接听
2018/2/7,银号理财,上海市黄浦区,2015/4/30,平台失联,https://www.p2peye.com/thread-1972316-1-1.html,5000万元人民币,王荣强 ,不详,不详,不详,不详,网站大量逾期，客服电话无法接通
2018/2/7,盛齐财富,山东省淄博市,2015/5/27,平台失联,https://www.p2peye.com/thread-1972337-1-1.html,2000万元人民币,何晓青 ,不详,不详,不详,不详,网站无法访问
2018/1/14,钱袋贷,广东省深圳市,--,平台失联,https://www.p2peye.com/thread-1957100-1-1.html,1000万元人民币,余卫星,不详,不详,不详,不详,网站无法访问
2018/1/14,贷动天下,北京市东城区,2015/11/3,平台失联,https://www.p2peye.com/thread-1957068-1-1.html,5000万元人民币,周永付,不详,不详,不详,不详,网站无法访问
2018/2/7,帮帮财,上海市黄浦区,2015/3/31,平台失联,https://www.p2peye.com/thread-1972309-1-1.html,3000万元人民币,谢小拽 ,不详,不详,不详,不详,网站无法访问，显示为博彩类网站
2018/2/3,益合贷,北京市东城区,2014/7/22,平台失联,https://www.p2peye.com/thread-1969650-1-1.html,5500万元人民币,赵博 ,2018年2月1日,不详,不详,不详,网站无法访问
2018/1/26,东创贷,浙江省宁波市,2017/8/1,平台失联,https://www.p2peye.com/thread-1965277-1-1.html,5000万元人民币,鲍智波 ,2017年12月13日,877人,不详,"14,401,908.67元",客服号码提示停机
2018/2/8,壹禾贷,广东省深圳市,2015/8/15,平台失联,https://www.p2peye.com/thread-1973154-1-1.html,3000万元人民币,杨学华 ,不详,不详,不详,不详,平台长期无标的更新，客服电话无人接听
2018/2/7,正能贷,上海市黄浦区,2013/8/31,平台失联,https://www.p2peye.com/thread-1972301-1-1.html,500万元人民币,缪进忠,不详,不详,不详,不详,网站无法访问，显示为非网贷网站
2018/2/3,万顺网,江苏省宿迁市,2017/3/1,提现困难,https://www.p2peye.com/thread-1969664-1-1.html,10000万元人民币,尤玉环 ,2018年1月15日,20193人,1.04亿元,不详,提现困难
2018/2/7,为微贷,山东省潍坊市,2009/4/7,平台失联,https://www.p2peye.com/thread-1972343-1-1.html,5000万元人民币,孙树爱 ,不详,不详,不详,不详,网站无法访问，显示为博彩类网站
2018/1/14,欧巴金融,广东省深圳市,--,平台失联,https://www.p2peye.com/thread-1957049-1-1.html,10000万元人民币,滕元庆,不详,不详,不详,不详,网站无法访问
2018/2/1,盛平财富,江苏省常州市,2015/7/1,平台失联,https://www.p2peye.com/thread-1968740-1-1.html,1000万元人民币,庞英芳 ,2016年1月26日,不详,不详,不详,网站无法访问
2018/1/25,猪猪理财,上海市黄浦区,2015/6/18,平台失联,https://www.p2peye.com/thread-1964406-1-1.html,5000万元人民币,王士保 ,2015年9月4日,不详,不详,不详,网站无法访问
2018/1/14,悦德投资,北京市昌平区,2016/5/19,平台失联,https://www.p2peye.com/thread-1957052-1-1.html,2000万元人民币,刘春生,不详,不详,不详,不详,网站无法访问
2018/2/3,银信贷,江苏省泰州市,2014/10/22,平台失联,https://www.p2peye.com/thread-1969667-1-1.html,500万元人民币,张宏伟,2015年4月31日,不详,不详,不详,长期无运营迹象，客服电话无人接听
